REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2017 ","PERCENT OF PERSONS
AGES 25-64
2017","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2017","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2017"
United States,Not a high school graduate,"18,672,000",11.0,10.9,11.0
United States,High school diploma or GED,"79,422,000",46.6,46.5,46.7
United States,Associate's Degree,"15,610,000",9.2,9.1,9.2
United States,Bachelor's Degree,"35,885,000",21.1,21.0,21.1
United States,Graduate Degree,"20,845,000",12.2,12.2,12.3
Alabama,Not a high school graduate,"295,000",11.8,11.4,12.1
Alabama,High school diploma or GED,"1,310,000",52.3,51.6,52.9
Alabama,Associate's Degree,"234,000",9.3,9.0,9.6
Alabama,Bachelor's Degree,"432,000",17.2,16.8,17.6
Alabama,Graduate Degree,"236,000",9.4,9.1,9.7
Alaska,Not a high school graduate,"30,000",7.5,6.8,8.1
Alaska,High school diploma or GED,"218,000",54.8,53.2,56.3
Alaska,Associate's Degree,"37,000",9.3,8.5,10.1
Alaska,Bachelor's Degree,"72,000",18.1,17.2,19.1
Alaska,Graduate Degree,"41,000",10.3,9.6,11.0
Arizona,Not a high school graduate,"459,000",13.1,12.7,13.4
Arizona,High school diploma or GED,"1,697,000",48.3,47.8,48.9
Arizona,Associate's Degree,"324,000",9.2,9.0,9.5
Arizona,Bachelor's Degree,"669,000",19.1,18.7,19.4
Arizona,Graduate Degree,"361,000",10.3,10.0,10.5
Arkansas,Not a high school graduate,"179,000",11.9,11.4,12.4
Arkansas,High school diploma or GED,"841,000",55.6,54.8,56.5
Arkansas,Associate's Degree,"122,000",8.1,7.7,8.5
Arkansas,Bachelor's Degree,"241,000",16.0,15.5,16.5
Arkansas,Graduate Degree,"128,000",8.5,8.1,8.8
California,Not a high school graduate,"3,348,000",15.8,15.7,16.0
California,High school diploma or GED,"8,918,000",42.1,41.9,42.3
California,Associate's Degree,"1,656,000",7.8,7.7,7.9
California,Bachelor's Degree,"4,641,000",21.9,21.8,22.1
California,Graduate Degree,"2,611,000",12.3,12.2,12.4
Colorado,Not a high school graduate,"250,000",8.2,7.9,8.5
Colorado,High school diploma or GED,"1,258,000",41.3,40.7,41.8
Colorado,Associate's Degree,"263,000",8.6,8.4,8.9
Colorado,Bachelor's Degree,"834,000",27.4,27.0,27.7
Colorado,Graduate Degree,"443,000",14.5,14.2,14.8
Connecticut,Not a high school graduate,"156,000",8.2,7.9,8.6
Connecticut,High school diploma or GED,"807,000",42.6,41.9,43.4
Connecticut,Associate's Degree,"161,000",8.5,8.1,8.9
Connecticut,Bachelor's Degree,"442,000",23.4,22.9,23.9
Connecticut,Graduate Degree,"326,000",17.2,16.8,17.6
Delaware,Not a high school graduate,"44,000",8.8,8.0,9.5
Delaware,High school diploma or GED,"254,000",50.9,49.4,52.3
Delaware,Associate's Degree,"40,000",8.0,7.4,8.7
Delaware,Bachelor's Degree,"97,000",19.3,18.4,20.2
Delaware,Graduate Degree,"65,000",13.1,12.3,13.8
District of Columbia,Not a high school graduate,"33,000",8.2,7.4,9.0
District of Columbia,High school diploma or GED,"117,000",28.5,27.1,29.8
District of Columbia,Associate's Degree,"13,000",3.3,2.7,3.8
District of Columbia,Bachelor's Degree,"105,000",25.7,24.5,26.9
District of Columbia,Graduate Degree,"141,000",34.4,33.3,35.6
Florida,Not a high school graduate,"1,144,000",10.6,10.4,10.8
Florida,High school diploma or GED,"5,202,000",48.1,47.8,48.5
Florida,Associate's Degree,"1,207,000",11.2,11.0,11.4
Florida,Bachelor's Degree,"2,162,000",20.0,19.8,20.2
Florida,Graduate Degree,"1,090,000",10.1,9.9,10.2
Georgia,Not a high school graduate,"644,000",11.7,11.4,12.0
Georgia,High school diploma or GED,"2,619,000",47.7,47.2,48.2
Georgia,Associate's Degree,"461,000",8.4,8.2,8.6
Georgia,Bachelor's Degree,"1,115,000",20.3,20.0,20.6
Georgia,Graduate Degree,"655,000",11.9,11.7,12.2
Hawaii,Not a high school graduate,"45,000",6.0,5.6,6.5
Hawaii,High school diploma or GED,"365,000",49.1,47.9,50.2
Hawaii,Associate's Degree,"86,000",11.6,11.0,12.1
Hawaii,Bachelor's Degree,"167,000",22.5,21.7,23.2
Hawaii,Graduate Degree,"81,000",10.8,10.3,11.4
Idaho,Not a high school graduate,"74,000",8.8,8.2,9.4
Idaho,High school diploma or GED,"455,000",53.6,52.4,54.8
Idaho,Associate's Degree,"90,000",10.6,10.0,11.2
Idaho,Bachelor's Degree,"159,000",18.7,18.0,19.5
Idaho,Graduate Degree,"71,000",8.3,7.8,8.9
Illinois,Not a high school graduate,"664,000",9.8,9.6,10.0
Illinois,High school diploma or GED,"3,037,000",44.9,44.6,45.3
Illinois,Associate's Degree,"589,000",8.7,8.5,8.9
Illinois,Bachelor's Degree,"1,543,000",22.8,22.6,23.1
Illinois,Graduate Degree,"927,000",13.7,13.5,13.9
Indiana,Not a high school graduate,"356,000",10.4,10.1,10.7
Indiana,High school diploma or GED,"1,745,000",51.1,50.6,51.7
Indiana,Associate's Degree,"343,000",10.0,9.8,10.3
Indiana,Bachelor's Degree,"646,000",18.9,18.6,19.3
Indiana,Graduate Degree,"323,000",9.5,9.2,9.7
Iowa,Not a high school graduate,"112,000",7.1,6.8,7.4
Iowa,High school diploma or GED,"762,000",48.5,47.9,49.2
Iowa,Associate's Degree,"209,000",13.3,12.9,13.7
Iowa,Bachelor's Degree,"333,000",21.2,20.7,21.7
Iowa,Graduate Degree,"155,000",9.8,9.5,10.2
Kansas,Not a high school graduate,"126,000",8.7,8.3,9.0
Kansas,High school diploma or GED,"675,000",46.4,45.6,47.1
Kansas,Associate's Degree,"145,000",9.9,9.5,10.3
Kansas,Bachelor's Degree,"328,000",22.5,22.0,23.0
Kansas,Graduate Degree,"183,000",12.6,12.2,13.0
Kentucky,Not a high school graduate,"263,000",11.4,11.0,11.8
Kentucky,High school diploma or GED,"1,250,000",54.1,53.4,54.8
Kentucky,Associate's Degree,"211,000",9.1,8.8,9.4
Kentucky,Bachelor's Degree,"356,000",15.4,15.0,15.8
Kentucky,Graduate Degree,"231,000",10.0,9.7,10.3
Louisiana,Not a high school graduate,"332,000",13.7,13.3,14.1
Louisiana,High school diploma or GED,"1,335,000",55.1,54.3,55.8
Louisiana,Associate's Degree,"161,000",6.6,6.4,6.9
Louisiana,Bachelor's Degree,"396,000",16.3,15.9,16.7
Louisiana,Graduate Degree,"201,000",8.3,8.0,8.6
Maine,Not a high school graduate,"43,000",6.1,5.6,6.5
Maine,High school diploma or GED,"352,000",50.0,48.8,51.1
Maine,Associate's Degree,"81,000",11.5,10.9,12.1
Maine,Bachelor's Degree,"149,000",21.2,20.5,21.9
Maine,Graduate Degree,"79,000",11.3,10.7,11.8
Maryland,Not a high school graduate,"298,000",9.1,8.8,9.4
Maryland,High school diploma or GED,"1,387,000",42.5,41.9,43.0
Maryland,Associate's Degree,"239,000",7.3,7.1,7.5
Maryland,Bachelor's Degree,"738,000",22.6,22.2,23.0
Maryland,Graduate Degree,"604,000",18.5,18.2,18.8
Massachusetts,Not a high school graduate,"283,000",7.7,7.4,7.9
Massachusetts,High school diploma or GED,"1,417,000",38.5,38.0,39.0
Massachusetts,Associate's Degree,"289,000",7.8,7.6,8.1
Massachusetts,Bachelor's Degree,"964,000",26.2,25.8,26.5
Massachusetts,Graduate Degree,"728,000",19.8,19.5,20.1
Michigan,Not a high school graduate,"412,000",8.0,7.8,8.2
Michigan,High school diploma or GED,"2,627,000",51.0,50.6,51.4
Michigan,Associate's Degree,"536,000",10.4,10.2,10.6
Michigan,Bachelor's Degree,"989,000",19.2,18.9,19.4
Michigan,Graduate Degree,"590,000",11.4,11.3,11.6
Minnesota,Not a high school graduate,"181,000",6.2,6.0,6.4
Minnesota,High school diploma or GED,"1,254,000",43.0,42.5,43.5
Minnesota,Associate's Degree,"370,000",12.7,12.4,12.9
Minnesota,Bachelor's Degree,"740,000",25.3,25.0,25.7
Minnesota,Graduate Degree,"374,000",12.8,12.5,13.1
Mississippi,Not a high school graduate,"203,000",13.6,13.1,14.1
Mississippi,High school diploma or GED,"784,000",52.5,51.6,53.4
Mississippi,Associate's Degree,"171,000",11.4,11.0,11.9
Mississippi,Bachelor's Degree,"213,000",14.2,13.7,14.8
Mississippi,Graduate Degree,"123,000",8.2,7.8,8.7
