REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2018 ","PERCENT OF PERSONS
AGES 25-64
2018","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2018","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2018"
United States,Not a high school graduate,"18,250,000",10.7,10.6,10.7
United States,High school diploma or GED,"78,811,000",46.2,46.1,46.2
United States,Associate's Degree,"15,705,000",9.2,9.2,9.2
United States,Bachelor's Degree,"36,489,000",21.4,21.3,21.4
United States,Graduate Degree,"21,480,000",12.6,12.5,12.6
Alabama,Not a high school graduate,"304,000",12.1,11.7,12.5
Alabama,High school diploma or GED,"1,296,000",51.7,51.0,52.4
Alabama,Associate's Degree,"243,000",9.7,9.4,10.0
Alabama,Bachelor's Degree,"430,000",17.1,16.7,17.6
Alabama,Graduate Degree,"235,000",9.4,9.0,9.7
Alaska,Not a high school graduate,"23,000",5.8,5.2,6.3
Alaska,High school diploma or GED,"222,000",55.9,54.4,57.5
Alaska,Associate's Degree,"34,000",8.6,7.9,9.4
Alaska,Bachelor's Degree,"74,000",18.6,17.6,19.5
Alaska,Graduate Degree,"44,000",11.1,10.3,11.9
Arizona,Not a high school graduate,"449,000",12.5,12.2,12.9
Arizona,High school diploma or GED,"1,734,000",48.4,47.9,49.0
Arizona,Associate's Degree,"333,000",9.3,9.0,9.5
Arizona,Bachelor's Degree,"691,000",19.3,18.9,19.6
Arizona,Graduate Degree,"375,000",10.5,10.2,10.7
Arkansas,Not a high school graduate,"170,000",11.2,10.8,11.7
Arkansas,High school diploma or GED,"850,000",56.1,55.2,57.0
Arkansas,Associate's Degree,"131,000",8.6,8.2,9.0
Arkansas,Bachelor's Degree,"235,000",15.5,15.0,16.0
Arkansas,Graduate Degree,"129,000",8.5,8.1,8.9
California,Not a high school graduate,"3,258,000",15.4,15.3,15.6
California,High school diploma or GED,"8,851,000",41.9,41.6,42.1
California,Associate's Degree,"1,693,000",8.0,7.9,8.1
California,Bachelor's Degree,"4,671,000",22.1,21.9,22.2
California,Graduate Degree,"2,675,000",12.6,12.5,12.8
Colorado,Not a high school graduate,"247,000",8.0,7.7,8.3
Colorado,High school diploma or GED,"1,265,000",40.9,40.3,41.5
Colorado,Associate's Degree,"271,000",8.8,8.5,9.0
Colorado,Bachelor's Degree,"843,000",27.2,26.9,27.6
Colorado,Graduate Degree,"467,000",15.1,14.8,15.4
Connecticut,Not a high school graduate,"149,000",7.9,7.5,8.3
Connecticut,High school diploma or GED,"796,000",42.3,41.6,43.1
Connecticut,Associate's Degree,"155,000",8.2,7.9,8.5
Connecticut,Bachelor's Degree,"446,000",23.7,23.2,24.3
Connecticut,Graduate Degree,"335,000",17.8,17.4,18.2
Delaware,Not a high school graduate,"47,000",9.5,8.8,10.3
Delaware,High school diploma or GED,"255,000",51.0,49.5,52.6
Delaware,Associate's Degree,"39,000",7.8,7.2,8.5
Delaware,Bachelor's Degree,"95,000",19.0,18.1,19.9
Delaware,Graduate Degree,"63,000",12.6,11.8,13.4
District of Columbia,Not a high school graduate,"26,000",6.3,5.6,7.1
District of Columbia,High school diploma or GED,"113,000",27.3,25.9,28.7
District of Columbia,Associate's Degree,"12,000",2.8,2.3,3.3
District of Columbia,Bachelor's Degree,"117,000",28.1,26.9,29.3
District of Columbia,Graduate Degree,"147,000",35.4,34.4,36.5
