REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2019 ","PERCENT OF PERSONS
AGES 25-64
2019","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2019","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2019"
United States,Not a high school graduate,"17,904,000",10.5,10.4,10.5
United States,High school diploma or GED,"78,177,000",45.8,45.7,45.9
United States,Associate's Degree,"15,694,000",9.2,9.1,9.2
United States,Bachelor's Degree,"37,238,000",21.8,21.7,21.9
United States,Graduate Degree,"21,811,000",12.8,12.7,12.8
Alabama,Not a high school graduate,"294,000",11.7,11.3,12.2
Alabama,High school diploma or GED,"1,277,000",51.0,50.2,51.7
Alabama,Associate's Degree,"247,000",9.9,9.5,10.2
Alabama,Bachelor's Degree,"436,000",17.4,17.0,17.8
Alabama,Graduate Degree,"251,000",10.0,9.7,10.4
Alaska,Not a high school graduate,"24,000",6.2,5.6,6.8
Alaska,High school diploma or GED,"214,000",54.3,52.6,56.0
Alaska,Associate's Degree,"37,000",9.5,8.7,10.3
Alaska,Bachelor's Degree,"75,000",18.9,18.0,19.9
Alaska,Graduate Degree,"44,000",11.1,10.4,11.9
Arizona,Not a high school graduate,"460,000",12.7,12.3,13.0
Arizona,High school diploma or GED,"1,765,000",48.5,47.9,49.1
Arizona,Associate's Degree,"325,000",8.9,8.7,9.2
Arizona,Bachelor's Degree,"703,000",19.3,19.0,19.7
Arizona,Graduate Degree,"383,000",10.5,10.3,10.8
Arkansas,Not a high school graduate,"167,000",11.1,10.6,11.6
Arkansas,High school diploma or GED,"851,000",56.3,55.4,57.1
Arkansas,Associate's Degree,"126,000",8.3,7.9,8.7
Arkansas,Bachelor's Degree,"242,000",16.0,15.5,16.5
Arkansas,Graduate Degree,"126,000",8.3,7.9,8.7
California,Not a high school graduate,"3,197,000",15.2,15.0,15.3
California,High school diploma or GED,"8,701,000",41.2,41.0,41.5
California,Associate's Degree,"1,660,000",7.9,7.8,8.0
California,Bachelor's Degree,"4,816,000",22.8,22.7,23.0
California,Graduate Degree,"2,729,000",12.9,12.8,13.0
Colorado,Not a high school graduate,"233,000",7.4,7.1,7.7
Colorado,High school diploma or GED,"1,258,000",40.2,39.6,40.8
Colorado,Associate's Degree,"274,000",8.8,8.5,9.1
Colorado,Bachelor's Degree,"883,000",28.2,27.8,28.7
Colorado,Graduate Degree,"481,000",15.4,15.1,15.7
Connecticut,Not a high school graduate,"149,000",8.0,7.6,8.3
Connecticut,High school diploma or GED,"793,000",42.5,41.7,43.2
Connecticut,Associate's Degree,"146,000",7.8,7.5,8.2
Connecticut,Bachelor's Degree,"445,000",23.8,23.3,24.3
Connecticut,Graduate Degree,"334,000",17.9,17.5,18.3
Delaware,Not a high school graduate,"47,000",9.4,8.7,10.2
Delaware,High school diploma or GED,"236,000",47.3,45.8,48.9
Delaware,Associate's Degree,"43,000",8.7,7.9,9.5
Delaware,Bachelor's Degree,"105,000",21.0,20.0,22.0
Delaware,Graduate Degree,"67,000",13.5,12.7,14.3
District of Columbia,Not a high school graduate,"29,000",6.9,6.1,7.8
District of Columbia,High school diploma or GED,"112,000",26.9,25.5,28.4
District of Columbia,Associate's Degree,"15,000",3.5,2.9,4.1
District of Columbia,Bachelor's Degree,"116,000",27.7,26.6,28.8
District of Columbia,Graduate Degree,"146,000",34.9,33.8,36.1
Florida,Not a high school graduate,"1,165,000",10.6,10.4,10.8
Florida,High school diploma or GED,"5,183,000",47.2,46.8,47.6
Florida,Associate's Degree,"1,198,000",10.9,10.7,11.1
Florida,Bachelor's Degree,"2,249,000",20.5,20.2,20.7
Florida,Graduate Degree,"1,191,000",10.8,10.7,11.0
Georgia,Not a high school graduate,"619,000",11.1,10.9,11.4
Georgia,High school diploma or GED,"2,576,000",46.4,45.8,46.9
Georgia,Associate's Degree,"469,000",8.4,8.2,8.7
Georgia,Bachelor's Degree,"1,186,000",21.3,21.0,21.6
Georgia,Graduate Degree,"708,000",12.7,12.4,13.0
Hawaii,Not a high school graduate,"41,000",5.6,5.1,6.1
Hawaii,High school diploma or GED,"353,000",48.5,47.2,49.7
Hawaii,Associate's Degree,"85,000",11.6,11.0,12.3
Hawaii,Bachelor's Degree,"169,000",23.3,22.5,24.1
Hawaii,Graduate Degree,"80,000",11.0,10.4,11.6
Idaho,Not a high school graduate,"75,000",8.5,7.9,9.0
Idaho,High school diploma or GED,"453,000",51.3,50.1,52.6
Idaho,Associate's Degree,"99,000",11.2,10.6,11.8
Idaho,Bachelor's Degree,"173,000",19.6,18.8,20.4
